题目内容,题目选项A,题目选项B,题目选项C,题目选项D,题目答案,类型,分值,难度,赛题分类（技术领域）,,,,,,
关键信息基础设施的运营者采购网络产品和服务，可能影响国家安全的，应当通过国家网信部门会同国务院有关部门组织的（ ）。,国家采购审查,国家网信安全审查,国家安全审查,国家网络审查,3,单选,2,2,法律法规,,,,,,
关键信息基础设施的运营者应当自行或者委托网络安全服务机构对其网络的安全性和可能存在的风险（ ）至少进行一次检测评估，并将检测评估情况和改进措施报送相关负责关键信息基础设施安全保护工作的部门。,四年,两年,每年,三年,3,单选,2,2,法律法规,,,,,,
国家支持研究开发有利于未成年人健康成长的网络产品和服务，依法惩治利用网络从事（ ）的活动，为未成年人提供安全、健康的网络环境。,针对未成年人黄赌毒,灌输未成年人错误网络思想,侵害未成年人受教育权,危害未成年人身心健康,4,单选,2,2,法律法规,,,,,,
国家（ ）关键信息基础设施以外的网络运营者自愿参与关键信息基础设施保护体系。,投资,引导,鼓励,支持,3,单选,2,2,法律法规,,,,,,
网络相关行业组织按照章程，（ ），制定网络安全行为规范，指导会员加强网络安全保护，提高网络安全保护水平，促进行业健康发展。,提升行业标准,宣传行业规范,加强行业自律,遵守行业规范,3,单选,2,2,法律法规,,,,,,
关键信息基础设施的运营者采购网络产品和服务，应当按照规定与提供者签订（ ），明确安全和保密义务与责任。,保密合同,安全服务合同,安全保密协议,安全责任条款,3,单选,2,2,法律法规,,,,,,
《网络安全法》所称网络，是指由计算机或者其他信息终端及相关设备组成的按照一定的规则和程序对信息进行（ ）的系统。,存储,传输、交换,处理,收集,"1,2,3,4",多选,2,2,法律法规,,,,,,
国家支持网络运营者之间在网络安全信息（ ）等方面进行合作，提高网络运营者的安全保障能力。,分析,通报,应急处置,收集,"1,2,3,4",多选,2,2,法律法规,,,,,,
根据《网络安全法》的规定，国务院和省、自治区、直辖市人民政府应当统筹规划，加大投入，扶持重点网络安全技术产业和项目，（ ）。,支持企业、研究机构和高等学校等参与国家网络安全技术创新项目,支持网络安全技术的研究开发和应用,推广安全可信的网络产品和服务,保护网络技术知识产权,"1,2,3,4",多选,2,2,法律法规,,,,,,
建设关键信息基础设施应当确保其具有支持业务稳定、持续运行的性能，并保证安全技术措施( )。,同步修改,同步使用,同步建设,同步规划,"2,3,4",多选,2,2,法律法规,,,,,,
国家对公共通信和信息服务、能源、交通、水利、金融、公共服务、电子政务等重要行业和领域，以及其他一旦遭到破坏、丧失功能或者数据泄露，可能严重危害（ ）的关键信息基础设施，在网络安全等级保护制度的基础上，实行重点保护。,公共利益,网速,国计民生,国家安全,"1,3,4",多选,2,2,法律法规,,,,,,
网络运营者应当制定网络安全事件应急预案，及时处置（ ）安全风险，在发生危害网络安全的事件时，立即启动应急预案，采取相应的补救措施，并按照规定向有关主管部门报告。,系统漏洞,网络攻击,网络侵入,计算机病毒,"1,2,3,4",多选,2,2,法律法规,,,,,,
国家网信部门应当统筹协调有关部门对关键信息基础设施的安全保护采取下列（ ）措施。,对网络安全事件的应急处置与网络功能的恢复等，提供技术支持和协助,促进有关部门、关键信息基础设施的运营者以及有关研究机构、网络安全服务机构等之间的网络安全信息共享,对关键信息基础设施的安全风险进行抽查检测，提出改进措施，必要时可以委托网络安全服务机构对网络存在的安全风险进行检测评估,定期组织关键信息基础设施的运营者进行网络安全应急演练，提高应对网络安全事件的水平和协同配合能力,"1,2,3,4",多选,2,2,法律法规,,,,,,
根据《网络安全法》的规定，任何个人和组织（ ）。,不得从事非法侵入他人网络、干扰他人网络正常功能等危害网络安全的活动,不得提供专门用于从事侵入网络、干扰网络正常功能等危害网络安全活动的程序,明知他人从事危害网络安全的活动的，不得为其提供技术支持,明知他人从事危害网络安全的活动的，可以为其进行广告推广,"1,2,3",多选,2,2,法律法规,,,,,,
明知他人从事危害网络安全的活动的，可以为其进行广告推广,中小学校,职业学校,高等学校,企业,"2,3,4",多选,2,2,法律法规,,,,,,
网络安全事件发生的风险增大时，省级以上人民政府有关部门应当按照规定的权限和程序，并根据网络安全风险的特点和可能造成的危害，采取下列（ ）措施。,要求有关部门、机构和人员及时收集、报告有关信息，加强对网络安全风险的监测,向社会发布网络安全风险预警，发布避免、减轻危害的措施,组织有关部门、机构和专业人员，对网络安全风险信息进行分析评估，预测事件发生的可能性、影响范围和危害程度,要求单位和个人协助抓跑嫌犯,"1,2,3",多选,2,2,法律法规,,,,,,
网络运营者收集、使用个人信息，应当遵循（ ）的原则，公开收集、使用规则，明示收集、使用信息的目的、方式和范围，并经被收集者同意。,公平,正当,合法,必要,"2,3,4",多选,2,2,法律法规,,,,,,
任何个人和组织应当对其使用网络的行为负责，不得设立用于（ ）违法犯罪活动的网站、通讯群组，不得利用网络发布涉及实施诈骗，制作或者销售违禁物品、管制物品以及其他违法犯罪活动的信息。,实施诈骗,制作或者销售违禁物品,制作或者销售管制物品,传授犯罪方法,"1,2,3,4",多选,2,2,法律法规,,,,,,
根据《网络安全法》的规定，关键信息基础设施的运营者应当履行（ ）安全保护义务。,设置专门安全管理机构和安全管理负责人，并对该负责人和关键岗位的人员进行安全背景审查,对重要系统和数据库进行容灾备份,制定网络安全事件应急预案，并定期进行演练,定期对从业人员进行网络安全教育、技术培训和技能考核,"1,2,3,4",多选,2,2,法律法规,,,,,,
网络运营者不得（ ）其收集的个人信息，未经被收集者同意，不得向他人提供个人信息。但是，经过处理无法识别特定个人且不能复原的除外。,泄露,使用,毁损,篡改,"1,3,4",多选,2,2,法律法规,,,,,,
网络运营者违反《网络安全法》的规定，有下列行为（ ）之一的，由有关主管部门责令改正，拒不改正或者情节严重的，处五万元以上五十万元以下罚款，对直接负责的主管人员和其他直接责任人员，处一万元以上十万元以下罚款。,不按照有关部门的要求对法律、行政法规禁止发布或者传输的信息，采取停止传输、消除等处置措施的,拒不向公安机关、国家安全机关提供技术支持和协助的,拒绝、阻碍有关部门依法实施的监督检查的,拒不向配合公安机关提供技术密码的,"1,2,3",多选,2,2,法律法规,,,,,,
《网络安全法》所称网络安全，是指通过采取必要措施，防范对网络的攻击、侵入、干扰、破坏和非法使用以及意外事故，使网络处于稳定可靠运行的状态，以及保障网络数据的（ ）的能力。,可用性,完整性,保密性,真实性,"1,2,3",多选,2,2,法律法规,,,,,,
网络运营者为用户（ ），在与用户签订协议或者确认提供服务时，应当要求用户提供真实身份信息。用户不提供真实身份信息的，网络运营者不得为其提供相关服务。,办理网络接入、域名注册服务,办理固定电话、移动电话等入网手续,办理监听业务,为用户提供信息发布、即时通讯等服务,"1,2,4",多选,2,2,法律法规,,,,,,
根据《网络安全法》的规定，有下列（ ）行为之一的，由有关主管部门责令改正，给予警告，拒不改正或者导致危害网络安全等后果的，处五万元以上五十万元以下罚款，对直接负责的主管人员处一万元以上十万元以下罚款。,擅自终止为其产品、服务提供安全维护的,未按照规定及时告知用户并向有关主管部门报告的,设置恶意程序的,对其产品、服务存在的安全缺陷、漏洞等风险未立即采取补救措施的,"1,2,3,4",多选,2,2,法律法规,,,,,,
网络运营者应当按照网络安全等级保护制度的要求，履行（ ）安全保护义务，保障网络免受干扰、破坏或者未经授权的访问，防止网络数据泄露或者被窃取、篡改。,采取防范计算机病毒和网络攻击、网络侵入等危害网络安全行为的技术措施,制定内部安全管理制度和操作规程，确定网络安全负责人，落实网络安全保护责任,采取数据分类、重要数据备份和加密等措施,采取监测、记录网络运行状态、网络安全事件的技术措施，并按照规定留存相关的网络日志不少于六个月,"1,2,3,4",多选,2,2,法律法规,,,,,,
境外的机构、组织、个人从事（ ）等危害中华人民共和国的关键信息基础设施的活动，造成严重后果的，依法追究法律责任，国务院公安部门和有关部门并可以决定对该机构、组织、个人采取冻结财产或者其他必要的制裁措施。,攻击,干扰,侵入,破坏,"1,2,3,4",多选,2,2,法律法规,,,,,,
国家机关政务网络的运营者不履行《网络安全法》规定的网络安全保护义务的，由其同级机关或者有关机关责令改正，对直接负责的主管人员和其他直接责任人员依法给予处分。,是,否,,,2,判断,1,1,法律法规,,,,,,
国家制定并不断完善网络安全战略，明确保障网络安全的基本要求和主要目标，提出重点领域的网络安全政策、工作任务和措施。,是,否,,,1,判断,1,1,法律法规,,,,,,
存储、处理涉及国家秘密信息的网络的运行安全保护，除应当遵守《网络安全法》外，还应当遵守保密法律、行政法规的规定。,是,否,,,1,判断,1,1,法律法规,,,,,,
根据《网络安全法》的规定，市级以上地方人民政府有关部门的网络安全保护和监督管理职责，按照国家有关规定确定。,是,否,,,2,判断,1,1,法律法规,,,,,,
根据《网络安全法》的规定，有关部门可以对举报人的相关信息予以保密，保护举报人的合法权益。,是,否,,,2,判断,1,1,法律法规,,,,,,
任何个人和组织使用网络应当遵守宪法法律，遵守公共秩序，尊重社会公德，不得危害网络安全，不得利用网络从事危害国家安全、荣誉和利益的活动。,是,否,,,对,判断,1,1,法律法规,,,,,,
